parámetros del reclutamiento
bit,NSIM
1,5000
3470791266.06176,7478277.96212609
3470791265.84092,7478278.42559429
3470791265.98028,7478277.82041082
3470791265.88173,7478278.77880265
3470791266.14843,7478278.29222005
3470791265.89137,7478278.14457399
3470791266.13331,7478278.32736687
3470791265.71779,7478277.98604566
3470791265.91047,7478278.61233765
3470791266.0534,7478278.07825714
3470791265.98807,7478277.78891832
3470791265.87832,7478278.59835882
3470791265.97855,7478278.27598516
3470791265.90361,7478278.39371963
3470791265.91803,7478278.2973776
3470791265.99345,7478278.26998409
3470791265.85216,7478278.19495418
3470791266.09657,7478278.11199318
3470791266.09056,7478278.62358427
3470791266.06817,7478278.31278659
3470791265.93766,7478278.09693628
3470791265.73996,7478278.09812224
3470791265.91049,7478278.46673467
3470791265.90941,7478278.2033857
3470791266.20846,7478278.6530179
3470791265.75385,7478278.25541799
3470791265.80335,7478277.94394016
3470791266.07817,7478278.24333694
3470791265.81756,7478277.88137496
3470791265.87927,7478278.36849776
3470791266.13092,7478278.29852748
3470791266.04263,7478277.67275073
3470791266.02096,7478278.30683388
3470791266.0847,7478278.39018716
3470791266.06839,7478278.29641156
3470791265.8377,7478278.34816918
3470791266.105,7478278.2813065
3470791265.96942,7478278.03797111
3470791266.1569,7478278.12043937
3470791266.07333,7478277.94075298
3470791266.14546,7478277.71632783
3470791266.22719,7478278.53173708
3470791266.1199,7478278.38395006
3470791265.89672,7478278.36890765
3470791266.04234,7478278.37336601
3470791266.18138,7478278.49909265
3470791266.08495,7478278.14804253
3470791265.82283,7478278.60320335
3470791265.97395,7478278.25050048
3470791266.39253,7478277.82270402
3470791265.90832,7478278.50473183
3470791265.98038,7478278.2978087
3470791265.92585,7478278.16424622
3470791265.85293,7478278.59087814
3470791265.71938,7478278.4264141
3470791265.99091,7478278.11213812
3470791266.07356,7478277.84703254
3470791265.84189,7478278.14101419
3470791265.86389,7478278.09760039
3470791266.10699,7478278.07135762
3470791266.16198,7478278.44126851
3470791266.08374,7478278.3047231
3470791266.05547,7478278.0424923
3470791265.96373,7478278.71478486
3470791266.12865,7478278.19758729
3470791266.07326,7478278.12510624
3470791265.97712,7478278.30044721
3470791265.95921,7478278.18476756
3470791265.87324,7478278.19589435
3470791265.91233,7478277.93009344
3470791266.17914,7478278.43691827
3470791266.17137,7478278.00697958
3470791265.76253,7478278.23513425
3470791265.94715,7478277.85557495
3470791266.12905,7478278.40163128
3470791266.04818,7478278.13626396
3470791266.19448,7478278.13445092
3470791266.17612,7478278.4248481
3470791265.76654,7478278.14090106
3470791266.19529,7478278.03470374
3470791265.94449,7478278.17256137
3470791266.25921,7478277.92773448
3470791266.09159,7478278.56170236
3470791265.99511,7478278.23629212
3470791266.2831,7478278.22353069
3470791265.93827,7478278.08876131
3470791265.86779,7478278.32621561
3470791266.14186,7478277.73919857
3470791265.98785,7478277.73082315
3470791265.96907,7478278.00892443
3470791266.0697,7478278.25981556
3470791266.20108,7478277.82336521
3470791265.92685,7478278.44166255
3470791265.96775,7478278.13865418
3470791266.10729,7478278.31208671
3470791265.94026,7478278.58157791
3470791265.75336,7478277.86877953
3470791266.10042,7478278.22897205
3470791266.00866,7478278.2083215
3470791265.94,7478278.39832706
3470791266.1374,7478278.3193543
3470791266.04044,7478277.83609887
3470791266.24345,7478277.86421013
3470791265.83716,7478278.13090962
3470791266.00112,7478278.41430867
3470791265.90679,7478278.58638115
3470791266.10277,7478278.22457131
3470791266.17331,7478277.84182083
3470791265.95794,7478278.13600057
3470791265.84415,7478278.30591474
3470791265.99164,7478278.22577939
3470791266.08116,7478278.00007162
3470791266.1645,7478278.45544797
3470791266.23383,7478277.97815655
3470791265.6873,7478278.38646044
3470791265.97676,7478277.69666736
3470791265.99872,7478278.11158155
3470791266.18328,7478278.32281911
3470791266.12072,7478277.91481317
3470791266.04858,7478278.21800503
3470791266.12033,7478278.75007662
3470791265.99211,7478278.21556672
3470791265.87845,7478277.96026679
3470791265.94059,7478278.07943996
3470791265.91356,7478278.34738838
3470791266.02917,7478278.42205312
3470791265.98438,7478278.22929263
3470791265.96759,7478278.02125513
3470791265.974,7478278.34786021
3470791266.33501,7478278.29904049
3470791265.86604,7478278.10405792
3470791266.19571,7478278.30004217
3470791266.06543,7478278.28049276
3470791266.33362,7478278.08927526
3470791265.9431,7478278.32078248
3470791266.23647,7478278.32915707
3470791265.77937,7478278.14933803
3470791265.91366,7478278.67935903
3470791266.04121,7478278.03114166
3470791266.14604,7478278.52294854
3470791266.1863,7478278.51798115
3470791265.96114,7478278.04057614
3470791265.95967,7478278.50095673
3470791265.99094,7478278.44206642
3470791266.37044,7478278.25806263
3470791265.94771,7478278.10400272
3470791265.94663,7478278.50780455
3470791266.15302,7478278.29714589
3470791265.93611,7478278.11943752
3470791266.16442,7478278.42246773
3470791266.11716,7478278.00957762
3470791265.99293,7478278.00451026
3470791266.00571,7478278.35616756
3470791266.02361,7478278.35641206
3470791266.03578,7478277.97954776
3470791266.2212,7478278.39272782
3470791266.24931,7478278.39462204
3470791266.04616,7478278.08547113
3470791266.05128,7478278.14182688
3470791265.75316,7478278.22681764
3470791265.93755,7478277.94951559
3470791265.85436,7478278.37997305
3470791265.93633,7478278.15851375
3470791265.7885,7478278.28255474
3470791265.88748,7478278.12597217
3470791266.02518,7478278.27260575
3470791265.85865,7478278.23964009
3470791265.69473,7478278.49263857
3470791265.74355,7478278.21738664
3470791266.04717,7478278.27139933
3470791265.82995,7478277.87509081
3470791266.23111,7478278.03221053
3470791266.13824,7478278.10455035
3470791265.96948,7478278.31976071
3470791265.94938,7478278.2760186
3470791265.88284,7478278.39886404
3470791265.68669,7478278.09978305
3470791265.83943,7478278.24663836
3470791266.19163,7478278.06967651
3470791266.00932,7478278.19813738
3470791266.14718,7478277.96135669
3470791265.98586,7478278.4167132
3470791266.12438,7478278.12648204
3470791265.93632,7478278.47699885
3470791266.079,7478278.49669479
3470791266.11764,7478278.33300129
3470791265.74266,7478278.30190458
3470791266.02427,7478278.19437474
3470791266.1704,7478278.4234114
3470791265.98925,7478278.749732
3470791266.31194,7478278.4257798
3470791266.03019,7478278.32055493
3470791265.81965,7478277.99150628
3470791265.97773,7478278.34879631
3470791266.18281,7478277.9685289
3470791266.05099,7478278.01386839
3470791265.77485,7478277.7802906
3470791265.87478,7478278.71452127
3470791265.78235,7478278.08529075
3470791265.98073,7478277.87044258
3470791266.02318,7478277.87581976
3470791265.89561,7478278.49260697
3470791265.99447,7478277.73465139
3470791266.0998,7478278.03253363
3470791265.89736,7478278.20408581
3470791265.75414,7478278.27290173
3470791265.98913,7478278.43924144
3470791265.90782,7478278.34619363
3470791265.81993,7478278.6473868
3470791265.92353,7478278.13546943
3470791266.22032,7478278.28396783
3470791266.27796,7478278.02115648
3470791266.23194,7478278.15207861
3470791266.29398,7478278.22996407
3470791266.15234,7478277.85167007
3470791265.76772,7478278.5697026
3470791265.97408,7478278.46620187
3470791265.8548,7478277.9781607
3470791265.70053,7478278.32456843
3470791266.02487,7478278.37394695
3470791265.9649,7478278.32840491
3470791265.80985,7478277.96386188
3470791266.09021,7478278.68600331
3470791266.03731,7478278.22762535
3470791265.96007,7478278.05137585
3470791265.85444,7478278.40005515
3470791265.97939,7478278.23158869
3470791266.08833,7478277.69996506
3470791265.73609,7478278.17334939
3470791266.04603,7478278.03468632
3470791265.99855,7478278.13794728
3470791266.09057,7478277.90301891
3470791266.13058,7478278.07456953
3470791266.28916,7478277.84256288
3470791265.98863,7478277.56305161
3470791266.00416,7478278.08665419
3470791266.09073,7478278.24397492
3470791265.98278,7478278.18548957
3470791265.68162,7478278.17906278
3470791265.77592,7478278.28012405
3470791265.94113,7478278.40303915
3470791266.31325,7478278.50863591
3470791265.77062,7478278.46335984
3470791265.9655,7478278.45910969
3470791265.92951,7478278.1389438
3470791265.92365,7478278.3898485
3470791266.00805,7478278.20885672
3470791266.01455,7478278.47200517
3470791265.94782,7478278.52034168
3470791266.16062,7478278.4389463
3470791265.96965,7478278.07471602
3470791266.25696,7478278.28089051
3470791265.88335,7478278.30062546
3470791266.03701,7478278.50226613
3470791266.25218,7478278.28939613
3470791265.66818,7478278.18707999
3470791266.00224,7478278.5106429
3470791265.94936,7478278.58273824
3470791266.15748,7478278.22575057
3470791266.18896,7478278.16491259
3470791265.95298,7478278.19348862
3470791265.91592,7478278.01792282
3470791265.73866,7478278.24052018
3470791265.94843,7478278.1689379
3470791265.88252,7478278.16643836
3470791266.05568,7478278.39799812
3470791265.75088,7478278.43434838
3470791265.63716,7478278.37673461
3470791266.17535,7478277.91780692
3470791265.90971,7478278.19703159
3470791265.84651,7478278.47840301
3470791265.8546,7478278.38086297
3470791266.11885,7478278.45369609
3470791265.96123,7478278.28471876
3470791265.8048,7478278.29189941
3470791266.26043,7478278.11228875
3470791265.91199,7478278.39768346
3470791265.90643,7478278.23597507
3470791266.18435,7478278.21146076
3470791266.18539,7478278.44619691
3470791265.99608,7478278.60245064
3470791265.85617,7478278.27783551
3470791266.10585,7478278.50680279
3470791266.00173,7478278.30406191
3470791265.83811,7478278.73607059
3470791265.9094,7478278.27513103
3470791266.1924,7478278.03134272
3470791266.02682,7478278.25151291
3470791265.94643,7478278.16948486
3470791265.83696,7478278.12023221
3470791266.16265,7478278.05228952
3470791266.34978,7478278.47031969
3470791266.15087,7478277.98296985
3470791266.11585,7478278.29074827
3470791266.06094,7478278.55518736
3470791265.97412,7478278.06910632
3470791265.77506,7478277.93248806
3470791265.99577,7478278.22573018
3470791266.0933,7478278.30042012
3470791266.26989,7478278.09427105
3470791265.94954,7478278.62654542
3470791266.1479,7478278.02017817
3470791266.18756,7478278.56688818
3470791265.98676,7478278.70658456
3470791266.18791,7478278.12805921
3470791266.13223,7478278.43427572
3470791265.68352,7478278.28906759
3470791265.88449,7478278.48866412
3470791266.16893,7478278.42299476
3470791266.23032,7478278.3944004
3470791266.3074,7478278.30637232
3470791265.80837,7478278.39618678
3470791265.89454,7478278.67803768
3470791266.03453,7478278.15185194
3470791266.08263,7478278.33014965
3470791266.10737,7478278.14586535
3470791266.04811,7478278.3758536
3470791265.88956,7478278.36344768
3470791265.97856,7478278.16735678
3470791265.97424,7478278.26381079
3470791266.16919,7478278.39534424
3470791265.76208,7478277.9626287
3470791266.02411,7478278.40653966
3470791265.98494,7478278.18360944
3470791265.8886,7478278.24239085
3470791265.77337,7478277.9616382
3470791265.96507,7478278.37908196
3470791266.05229,7478278.5766557
3470791265.97205,7478278.64005521
3470791266.15421,7478278.29077442
3470791266.20866,7478278.41054795
3470791266.15273,7478278.620831
3470791266.09628,7478278.3074708
3470791265.94012,7478278.30462479
3470791265.94706,7478278.1062074
3470791265.9679,7478278.34657227
3470791266.26516,7478277.97954692
3470791266.09518,7478278.2867312
3470791266.00045,7478278.12018406
3470791265.86679,7478278.43083619
3470791265.86961,7478278.50561486
3470791266.11384,7478278.38528629
3470791265.86955,7478278.12350676
3470791266.18724,7478277.97080448
3470791266.26665,7478277.85713765
3470791266.22633,7478278.06605351
3470791265.85266,7478278.27119839
3470791265.86976,7478278.73272942
3470791265.93021,7478278.34682137
3470791266.04899,7478278.10294185
3470791265.94997,7478278.5201662
3470791266.01185,7478278.43011756
3470791266.32374,7478278.30362433
3470791266.22538,7478278.57265716
3470791266.21348,7478278.61368902
3470791265.97413,7478278.14616011
3470791266.19765,7478278.31020652
3470791265.79338,7478278.35219598
3470791265.79422,7478278.56215466
3470791265.90794,7478277.91277347
3470791265.85911,7478277.98684011
3470791266.09964,7478278.24438927
3470791265.56925,7478278.35723736
3470791265.9328,7478278.00679027
3470791266.1167,7478278.06211158
3470791265.9373,7478278.20756658
3470791266.14766,7478278.11694489
3470791265.98376,7478278.24131213
3470791265.6438,7478278.4901649
3470791265.87067,7478278.45129398
3470791265.84001,7478278.14366945
3470791265.75961,7478278.03253569
3470791266.08226,7478277.8593042
3470791266.03534,7478278.33839936
3470791265.94765,7478278.47832449
3470791266.14292,7478278.29468716
3470791266.09675,7478278.35811262
3470791266.01443,7478278.59289078
3470791265.78601,7478278.00656297
3470791265.89337,7478278.39937516
3470791265.91251,7478278.46045801
3470791265.91163,7478278.11023852
3470791265.9797,7478277.81174342
3470791265.76426,7478278.45846385
3470791265.88074,7478278.28249412
3470791265.81477,7478278.35145063
3470791265.92054,7478278.48045473
3470791266.09729,7478278.17349484
3470791266.08866,7478278.17148676
3470791266.00758,7478278.12399898
3470791266.01762,7478278.36905038
3470791266.07669,7478278.71381874
3470791265.9859,7478278.40432559
3470791266.07877,7478278.52652774
3470791266.05255,7478278.22977001
3470791265.81777,7478278.16969525
3470791266.09108,7478278.42765337
3470791265.80638,7478278.44150848
3470791265.91993,7478278.58032787
3470791265.94656,7478277.99283989
3470791266.3396,7478278.13954111
3470791266.07564,7478278.19661835
3470791265.61653,7478277.75629128
3470791265.8803,7478278.04604563
3470791265.94584,7478278.58053021
3470791266.04404,7478278.7735751
3470791265.93199,7478278.18216748
3470791265.82915,7478277.83104511
3470791266.16855,7478278.313147
3470791265.95353,7478278.21321203
3470791266.27046,7478278.24410532
3470791265.9509,7478277.98841187
3470791265.92577,7478278.53793718
3470791266.13047,7478278.59912897
3470791265.97113,7478277.82147436
3470791266.07995,7478278.56952138
3470791265.97727,7478278.06015588
3470791265.93471,7478278.66341205
3470791265.67558,7478278.14546098
3470791266.27006,7478278.35231626
3470791265.72399,7478278.28241671
3470791265.95113,7478278.56663594
3470791265.99638,7478278.2212452
3470791265.94037,7478278.31105681
3470791265.99246,7478278.10298293
3470791265.67133,7478278.19361435
3470791265.65657,7478278.36910808
3470791266.23322,7478278.42057239
3470791266.00798,7478278.27342688
3470791265.8973,7478278.3853519
3470791265.99079,7478278.39228653
3470791266.23827,7478278.5878128
3470791266.01024,7478278.06468583
3470791266.20452,7478278.37404443
3470791265.96358,7478278.09014231
3470791266.2167,7478278.23841086
3470791266.00858,7478278.28830591
3470791266.1128,7478278.50286381
3470791266.1248,7478277.84600024
3470791266.02464,7478278.04335643
3470791266.08684,7478278.24270686
3470791266.1737,7478277.92827777
3470791265.98791,7478278.15950395
3470791265.90236,7478277.88316441
3470791265.88135,7478278.16882752
3470791265.75812,7478278.54222231
3470791265.82302,7478278.44348951
3470791266.1896,7478278.21723191
3470791266.00785,7478278.02030636
3470791266.04545,7478278.48519044
3470791265.8975,7478278.03828511
3470791265.94333,7478278.24149706
3470791265.71312,7478278.44520291
3470791266.20285,7478278.68344585
3470791265.79419,7478278.34528772
3470791266.044,7478278.40578773
3470791265.88703,7478278.37649055
3470791265.72522,7478278.61229873
3470791265.57628,7478277.8937342
3470791265.98627,7478278.37430556
3470791265.89511,7478278.22001076
3470791265.60677,7478278.47304191
3470791265.97078,7478278.37062628
3470791265.88015,7478278.20372782
3470791266.02864,7478278.34904934
3470791266.08621,7478278.32158971
3470791265.94764,7478278.57599277
3470791266.18125,7478278.07585431
3470791266.20414,7478278.1841518
3470791266.08723,7478278.42986512
3470791265.83494,7478278.00463691
3470791266.04295,7478278.33722149
3470791265.95377,7478277.96261203
3470791266.10732,7478278.49251364
3470791266.10792,7478278.21810202
3470791266.15055,7478278.06354139
3470791265.9997,7478278.48537935
3470791266.02392,7478278.43289154
3470791265.8414,7478278.34899638
3470791266.2465,7478277.85151566
3470791265.46623,7478278.24993655
3470791265.97884,7478278.06509001
3470791265.92409,7478277.99268773
3470791265.97848,7478278.33760493
3470791266.05617,7478278.27754338
3470791265.82153,7478278.04320607
3470791266.04257,7478278.18101062
3470791266.0904,7478278.40874102
3470791265.83274,7478278.17121853
3470791265.86654,7478278.43275303
3470791265.9174,7478278.52139216
3470791266.19041,7478278.34766395
3470791266.18819,7478277.95142409
3470791266.08899,7478278.16102545
3470791265.7582,7478278.60398036
3470791266.14646,7478278.15813943
3470791266.04278,7478278.158341
3470791265.78951,7478278.3269878
3470791266.02117,7478278.53749289
3470791265.91471,7478277.87171596
3470791265.99475,7478277.92960141
3470791265.77707,7478278.31058893
3470791265.85937,7478278.2715017
3470791265.89728,7478278.62462212
3470791266.19473,7478278.2572251
3470791266.18147,7478277.65572148
3470791265.7462,7478278.62080345
3470791266.01147,7478278.44303261
3470791266.02388,7478278.01723445
3470791265.9734,7478278.14712617
3470791266.10492,7478278.83401947
3470791266.3698,7478278.30674443
3470791266.12525,7478278.28451721
3470791266.0429,7478278.42479941
3470791265.75199,7478277.97641123
3470791266.04827,7478278.66693539
3470791265.88548,7478278.23861896
3470791266.15276,7478277.98402366
3470791266.04717,7478278.06771855
3470791265.88399,7478278.17236472
3470791266.20106,7478278.01079779
3470791265.95806,7478278.17168193
3470791265.64258,7478278.38940747
3470791265.88456,7478278.61055244
3470791265.83104,7478277.68515743
3470791265.87808,7478278.04310417
3470791265.85671,7478278.67489704
3470791265.60865,7478278.3224945
3470791266.14573,7478278.01482681
3470791266.03649,7478278.5032916
3470791265.9801,7478277.71605516
3470791266.12211,7478278.38236713
3470791266.27914,7478278.21632529
3470791266.0484,7478278.49242285
3470791265.78309,7478277.97656207
3470791265.84602,7478278.15705389
3470791265.8442,7478278.45346124
3470791265.93197,7478278.32928237
3470791266.03405,7478278.04062416
3470791266.09648,7478278.41625887
3470791266.13392,7478278.16073091
3470791265.98014,7478278.08742701
3470791266.02322,7478278.1603159
3470791265.87889,7478278.08845275
3470791265.97164,7478278.32093812
3470791266.10383,7478278.01376968
3470791265.68303,7478278.35475764
3470791265.96055,7478277.93581201
3470791266.25086,7478277.76867142
3470791266.05279,7478278.57349794
3470791265.63787,7478278.15925741
3470791265.97909,7478278.4698609
3470791265.89714,7478278.25448304
3470791265.97018,7478277.96969865
3470791265.90599,7478278.3673768
3470791265.96338,7478278.57383396
3470791265.97492,7478278.10488173
3470791266.21182,7478277.96514862
3470791265.98139,7478278.0842687
3470791265.65591,7478278.12249897
3470791265.7298,7478278.32851306
3470791266.0873,7478278.43512424
3470791265.69491,7478278.37208607
3470791266.20914,7478278.39721167
3470791266.21067,7478278.13693156
3470791266.02744,7478277.98196202
3470791265.96182,7478277.96099925
3470791266.09487,7478278.74730101
3470791266.03218,7478278.62850119
3470791265.83818,7478278.26609263
3470791266.26243,7478278.16722509
3470791266.01033,7478278.02647328
3470791265.93799,7478278.08411965
3470791266.01778,7478278.38433652
3470791266.11051,7478278.75214961
3470791265.76353,7478278.24062382
3470791266.07876,7478277.72972368
3470791266.17213,7478277.92246366
3470791265.95654,7478278.3348043
3470791266.10825,7478278.18720849
3470791265.9426,7478278.11604476
3470791265.88012,7478277.84195413
3470791265.75012,7478278.60131275
3470791266.34026,7478278.27258272
3470791266.02509,7478278.27605883
3470791266.14837,7478278.45516102
3470791266.03704,7478278.15818926
3470791266.03241,7478277.92705314
3470791266.06707,7478278.13232249
3470791265.99947,7478277.92350899
3470791265.87981,7478278.3686917
3470791265.92954,7478278.07671166
3470791265.77019,7478278.28772933
3470791265.86154,7478277.98460059
3470791266.10552,7478278.20801155
3470791265.98215,7478278.07967414
3470791265.96272,7478278.18176475
3470791265.51947,7478278.23272424
3470791266.14061,7478278.14810327
3470791266.09499,7478277.99232756
